Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M
1,Daniil Medvedev [RUS],65,43.4%,184,424,0.60,2.7,6.5,1.15,2.8,66.3%,193,291,0.40,1.8,4.5,0.61,1.5
2,Alexander Zverev [GER],57,42.9%,141,329,0.57,2.3,5.8,1.00,2.5,63.6%,133,209,0.36,1.5,3.7,0.54,1.3
3,Rafael Nadal [ESP],39,42.0%,129,307,0.70,2.7,7.9,1.12,3.3,64.3%,126,196,0.43,1.7,5.0,0.61,1.8
4,Carlos Alcaraz [ESP],66,40.2%,221,550,0.74,3.1,8.3,1.24,3.3,67.2%,232,345,0.46,1.9,5.2,0.63,1.7
5,Stefanos Tsitsipas [GRE],70,43.1%,176,408,0.51,2.2,5.8,0.95,2.5,66.4%,237,357,0.43,1.9,5.1,0.65,1.7
6,Novak Djokovic [SRB],40,41.9%,124,296,0.70,2.7,7.4,1.14,3.1,65.9%,114,173,0.39,1.6,4.3,0.54,1.5
7,Casper Ruud [NOR],75,39.5%,181,458,0.61,2.5,6.1,0.98,2.4,63.6%,203,319,0.42,1.7,4.3,0.63,1.5
8,Felix Auger Aliassime [CAN],65,36.1%,152,421,0.56,2.5,6.5,0.90,2.3,64.0%,220,344,0.45,2.0,5.3,0.73,1.9
9,Cameron Norrie [GBR],81,43.0%,257,598,0.64,2.9,7.4,1.25,3.2,63.3%,305,482,0.52,2.3,6.0,0.86,2.2
10,Hubert Hurkacz [POL],65,36.8%,148,402,0.52,2.4,6.2,0.89,2.3,66.5%,183,275,0.35,1.6,4.2,0.55,1.4
11,Andrey Rublev [RUS],67,37.0%,181,489,0.67,2.9,7.3,1.06,2.7,63.8%,220,345,0.47,2.0,5.1,0.73,1.9
12,Taylor Fritz [USA],67,39.2%,208,531,0.65,3.0,7.9,1.17,3.1,64.0%,219,342,0.41,1.9,5.1,0.69,1.8
13,Jannik Sinner [ITA],70,45.0%,218,484,0.62,2.7,6.9,1.22,3.1,64.7%,224,346,0.44,1.9,4.9,0.69,1.7
14,Matteo Berrettini [ITA],36,36.2%,76,210,0.43,2.1,5.8,0.77,2.1,73.9%,147,199,0.41,2.0,5.5,0.53,1.4
15,Pablo Carreno Busta [ESP],57,37.2%,165,444,0.66,3.1,7.8,1.15,2.9,62.1%,200,322,0.47,2.2,5.6,0.85,2.1
16,Diego Schwartzman [ARG],66,42.1%,243,577,0.80,3.4,8.7,1.45,3.7,57.5%,286,497,0.69,3.0,7.5,1.26,3.2
17,Marin Cilic [CRO],57,39.9%,141,353,0.58,2.4,6.2,0.94,2.5,65.3%,190,291,0.47,1.9,5.1,0.67,1.8
18,Roberto Bautista Agut [ESP],49,39.0%,165,423,0.76,3.5,8.6,1.38,3.4,63.1%,176,279,0.49,2.3,5.7,0.86,2.1
19,Grigor Dimitrov [BUL],50,41.5%,129,311,0.55,2.5,6.2,1.02,2.6,57.8%,137,237,0.42,1.9,4.7,0.79,2.0
20,Alex De Minaur [AUS],64,43.7%,209,478,0.63,3.0,7.5,1.30,3.3,60.4%,261,432,0.57,2.7,6.8,1.06,2.7
21,Denis Shapovalov [CAN],48,34.8%,102,293,0.48,2.3,6.1,0.80,2.1,66.3%,195,294,0.48,2.3,6.1,0.77,2.1
22,Botic Van De Zandschulp [NED],64,42.5%,176,414,0.58,2.6,6.5,1.12,2.8,64.4%,269,418,0.59,2.7,6.5,0.95,2.3
23,Daniel Evans [GBR],49,40.7%,123,302,0.56,2.6,6.2,1.04,2.5,57.3%,164,286,0.54,2.4,5.8,1.03,2.5
24,Gael Monfils [FRA],34,42.5%,96,226,0.62,2.8,6.6,1.19,2.8,63.4%,104,164,0.44,2.0,4.8,0.74,1.8
25,Nick Kyrgios [AUS],41,41.6%,97,233,0.45,2.2,5.7,0.92,2.4,76.6%,111,145,0.28,1.4,3.5,0.32,0.8
26,Frances Tiafoe [USA],54,39.1%,142,363,0.52,2.5,6.7,0.97,2.6,63.6%,229,360,0.52,2.5,6.7,0.90,2.4
27,Francisco Cerundolo [ARG],44,38.4%,146,380,0.77,3.6,8.6,1.38,3.3,61.4%,194,316,0.65,3.0,7.2,1.15,2.8
28,Reilly Opelka [USA],44,30.7%,54,176,0.34,1.7,4.0,0.51,1.2,69.5%,116,167,0.32,1.6,3.8,0.48,1.2
29,Borna Coric [CRO],18,34.0%,32,94,0.51,2.0,5.2,0.70,1.8,62.2%,56,90,0.48,2.0,5.0,0.74,1.9
30,Lorenzo Musetti [ITA],54,41.0%,142,346,0.53,2.5,6.4,1.01,2.6,59.1%,214,362,0.56,2.6,6.7,1.05,2.7
31,Karen Khachanov [RUS],58,36.0%,130,361,0.55,2.4,6.2,0.88,2.2,64.4%,208,323,0.50,2.2,5.6,0.78,2.0
32,Maxime Cressy [USA],55,43.0%,113,263,0.37,1.8,4.8,0.77,2.1,66.9%,168,251,0.35,1.7,4.6,0.57,1.5
33,Holger Rune [DEN],54,39.1%,127,325,0.59,2.4,6.0,0.93,2.4,57.5%,164,285,0.53,2.1,5.3,0.89,2.2
34,Tommy Paul [USA],66,38.1%,192,504,0.65,3.1,7.6,1.17,2.9,62.5%,262,419,0.54,2.6,6.3,0.96,2.4
35,Nikoloz Basilashvili [GEO],50,38.6%,95,246,0.44,2.0,4.9,0.77,1.9,55.6%,190,342,0.62,2.8,6.8,1.23,3.0
36,Miomir Kecmanovic [SRB],58,39.4%,160,406,0.60,2.8,7.0,1.09,2.8,65.5%,224,342,0.52,2.3,5.9,0.80,2.0
37,Sebastian Baez [ARG],61,39.8%,202,507,0.72,3.1,8.3,1.25,3.3,58.2%,244,419,0.60,2.6,6.9,1.09,2.9
38,Aslan Karatsev [RUS],50,38.8%,138,356,0.60,2.8,7.1,1.08,2.8,62.4%,219,351,0.60,2.7,7.0,1.03,2.6
39,Alejandro Davidovich Fokina [ESP],50,38.5%,167,434,0.68,3.3,8.7,1.27,3.3,58.4%,216,370,0.59,2.8,7.4,1.18,3.1
40,Alex Molcan [SVK],44,37.5%,111,296,0.59,2.6,6.7,0.99,2.5,60.0%,168,280,0.55,2.5,6.4,1.00,2.5
41,Oscar Otte [GER],38,40.2%,86,214,0.52,2.3,5.6,0.93,2.3,65.9%,153,232,0.56,2.5,6.1,0.86,2.1
42,Albert Ramos [ESP],49,41.8%,137,328,0.59,2.7,6.7,1.11,2.8,59.8%,198,331,0.61,2.7,6.8,1.08,2.7
43,Jenson Brooksby [USA],41,41.2%,115,279,0.66,2.9,6.8,1.20,2.8,53.6%,112,209,0.49,2.2,5.1,1.01,2.4
44,Filip Krajinovic [SRB],48,43.8%,110,251,0.49,2.2,5.2,0.96,2.3,61.2%,186,304,0.59,2.7,6.3,1.04,2.5
45,Adrian Mannarino [FRA],63,38.7%,150,388,0.53,2.5,6.2,0.96,2.4,59.5%,229,385,0.53,2.5,6.1,1.00,2.5
46,Tallon Griekspoor [NED],39,33.5%,87,260,0.54,2.6,6.7,0.86,2.2,66.9%,168,251,0.52,2.5,6.4,0.82,2.1
47,Alexander Bublik [KAZ],53,38.1%,107,281,0.47,2.1,5.3,0.82,2.0,64.0%,194,303,0.51,2.3,5.7,0.83,2.1
48,John Isner [USA],40,27.3%,38,139,0.26,1.2,3.5,0.33,1.0,70.0%,105,150,0.28,1.3,3.8,0.39,1.1
49,Emil Ruusuvuori [FIN],64,39.6%,193,487,0.67,3.0,7.6,1.21,3.0,59.1%,250,423,0.57,2.6,6.6,1.08,2.7
50,Benjamin Bonzi [FRA],41,37.7%,95,252,0.56,2.6,6.1,0.99,2.3,62.7%,126,201,0.44,2.1,4.9,0.78,1.8
